submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s429566813,p00000,u607145912,1531305580,Python,Python3,py,WA: Presentation Error,30,5568,83,0/1
s568050950,p00000,u539753516,1531568058,Python,Python3,py,Accepted,20,5520,94,1/1
s998814907,p00000,u952737639,1534929257,Python,Python3,py,Accepted,20,5592,111,1/1
s839925919,p00000,u923573620,1535009855,Python,Python3,py,Accepted,20,5528,94,1/1
s578054327,p00000,u923573620,1535088756,Python,Python3,py,Accepted,20,5524,90,1/1
s560456580,p00000,u525366883,1535370691,Python,Python,py,Wrong Answer,10,4608,94,0/1
s074543685,p00000,u525366883,1535370705,Python,Python,py,Accepted,10,4608,94,1/1
s096947328,p00000,u580227385,1535437681,Python,Python3,py,Runtime Error,0,0,93,0/1
s070810563,p00000,u580227385,1535437831,Python,Python3,py,Runtime Error,0,0,97,0/1
s696929093,p00000,u580227385,1535437873,Python,Python3,py,Runtime Error,0,0,99,0/1
s282888861,p00000,u580227385,1535437930,Python,Python3,py,Wrong Answer,20,5524,99,0/1
s845903019,p00000,u580227385,1535438128,Python,Python3,py,Wrong Answer,20,5532,172,0/1
s463628985,p00000,u580227385,1535438191,Python,Python3,py,Accepted,20,5532,171,1/1
s101094990,p00000,u589479013,1535887790,Python,Python3,py,Runtime Error,0,0,48,0/1
s986872986,p00000,u938562956,1540814169,Python,Python3,py,WA: Presentation Error,20,5572,96,0/1
s931559745,p00000,u938562956,1540814304,Python,Python3,py,Accepted,30,5528,111,1/1
s886120871,p00000,u978863922,1540906306,Python,Python3,py,Wrong Answer,20,5568,84,0/1
s672498262,p00000,u978863922,1540906433,Python,Python3,py,Accepted,20,5568,86,1/1
s180684550,p00000,u849870539,1545229464,Python,Python3,py,Accepted,20,5524,94,1/1
s472398047,p00000,u862333119,1545688766,Python,Python3,py,Accepted,20,5532,84,1/1
s754258693,p00000,u011621222,1545745041,Python,Python3,py,Wrong Answer,20,5520,97,0/1
s913328932,p00000,u483716678,1546355133,Python,Python,py,Wrong Answer,10,4624,255,0/1
s390926587,p00000,u483716678,1546355288,Python,Python,py,Runtime Error,0,0,212,0/1
s119682452,p00000,u483716678,1546355346,Python,Python,py,WA: Presentation Error,10,4624,239,0/1
s718781887,p00000,u483716678,1546355372,Python,Python,py,WA: Presentation Error,10,4624,238,0/1
s293819109,p00000,u483716678,1546355441,Python,Python,py,Accepted,10,4624,234,1/1
s175452114,p00000,u737311644,1546394030,Python,Python3,py,Wrong Answer,20,5568,170,0/1
s265470259,p00000,u177389471,1546507385,Python,Python3,py,Wrong Answer,20,5528,96,0/1
s424614057,p00000,u177389471,1546507414,Python,Python3,py,Accepted,20,5528,96,1/1
s706417198,p00000,u179046735,1555656248,Python,Python3,py,Accepted,20,5524,90,1/1
s531311224,p00000,u563307622,1556297991,Python,Python3,py,Accepted,20,5524,108,1/1
s813625395,p00000,u936370024,1556804830,Python,Python3,py,Accepted,20,5520,102,1/1
s745701418,p00000,u051394180,1558935836,Python,Python,py,Wrong Answer,0,4604,97,0/1
